date,product_type,region_id,Quantity
2019-01-12,1,01,886
2019-01-12,1,02,48
2019-01-12,2,01,15593
2019-01-12,2,02,398
2019-01-12,2,03,88
2019-01-12,2,04,96
2019-01-12,2,05,102
2019-01-12,2,06,1598
2019-01-12,2,07,224
2019-01-12,3,01,427
2019-01-12,3,03,10
2019-01-12,4,01,68
2019-01-12,4,05,24
2019-01-12,5,01,84
2019-01-12,7,01,448
2019-01-12,8,01,3774
2019-01-12,8,03,9
2019-01-12,8,05,30
2019-01-12,8,06,254
2019-01-12,8,07,18
2019-01-12,9,01,28
2019-02-12,1,01,687
2019-02-12,2,01,19528
2019-02-12,2,05,123
2019-02-12,2,07,6
2019-02-12,3,01,296
2019-02-12,4,01,477
2019-02-12,5,01,12
2019-02-12,6,01,6
2019-02-12,7,01,848
2019-02-12,8,01,9101
2019-02-12,8,05,24
2019-02-12,9,01,32
2019-03-12,1,01,30
2019-03-12,1,02,12
2019-03-12,1,05,10
2019-03-12,1,07,1548
2019-03-12,2,01,5998
2019-03-12,2,02,224
2019-03-12,2,05,113
2019-03-12,2,07,716
2019-03-12,2,08,108
2019-03-12,2,09,400
2019-03-12,2,10,108
2019-03-12,2,11,64
2019-03-12,2,12,60
2019-03-12,2,13,480
2019-03-12,3,01,121
2019-03-12,3,07,24
2019-03-12,3,10,32
2019-03-12,4,01,41
2019-03-12,7,01,489
2019-03-12,7,07,4
2019-03-12,7,12,29
2019-03-12,8,01,960
2019-03-12,8,05,42
2019-03-12,8,07,83
2019-03-12,8,12,73
2019-03-12,8,13,46
2019-03-12,9,01,7
2019-05-12,1,01,892
2019-05-12,1,02,28
2019-05-12,1,14,24
2019-05-12,2,01,9875
2019-05-12,2,02,517
2019-05-12,2,05,1245
2019-05-12,2,14,550
2019-05-12,2,15,148
2019-05-12,3,01,195
2019-05-12,4,01,222
2019-05-12,4,02,5
2019-05-12,5,01,25
2019-05-12,6,01,2
2019-05-12,7,01,319
2019-05-12,8,01,2045
2019-05-12,8,02,52
2019-05-12,8,05,103
2019-05-12,8,14,48
2019-05-12,8,15,48
2019-05-12,9,01,28
2019-06-12,1,01,387
2019-06-12,2,01,12752
2019-06-12,2,05,84
2019-06-12,2,07,522
2019-06-12,2,11,52
2019-06-12,3,01,27
2019-06-12,4,01,147
2019-06-12,7,01,242
2019-06-12,8,01,1958
2019-06-12,8,05,4
2019-06-12,8,07,90
2019-06-12,9,01,2
2019-07-12,1,01,178
2019-07-12,2,01,13820
2019-07-12,2,02,720
2019-07-12,2,05,124
2019-07-12,2,17,214
2019-07-12,3,01,62
2019-07-12,4,01,98
2019-07-12,4,05,20
2019-07-12,5,01,1
2019-07-12,7,01,616
2019-07-12,7,17,12
2019-07-12,8,01,3440
2019-07-12,8,02,25
2019-07-12,8,05,6
2019-07-12,8,17,93
2019-07-12,9,01,3
2019-08-12,1,01,1333
2019-08-12,2,01,13000
2019-08-12,2,02,99
2019-08-12,2,03,214
2019-08-12,2,05,108
2019-08-12,2,06,1500
2019-08-12,2,11,340
2019-08-12,2,14,30
2019-08-12,3,01,173
2019-08-12,3,02,4
2019-08-12,4,01,210
2019-08-12,4,02,5
2019-08-12,4,11,3
2019-08-12,5,01,251
2019-08-12,6,01,7
2019-08-12,7,01,361
2019-08-12,7,11,39
2019-08-12,8,01,3519
2019-08-12,8,02,12
2019-08-12,8,05,24
2019-08-12,8,06,230
2019-08-12,8,11,36
2019-08-12,9,01,25
2019-09-12,1,01,136
2019-09-12,1,02,24
2019-09-12,1,05,36
2019-09-12,2,01,10368
2019-09-12,2,02,920
2019-09-12,2,05,349
2019-09-12,2,07,249
2019-09-12,2,09,57
2019-09-12,2,11,105
2019-09-12,2,15,1488
2019-09-12,2,18,77
2019-09-12,2,19,422
2019-09-12,3,01,261
2019-09-12,3,09,4
2019-09-12,4,01,235
2019-09-12,4,02,24
2019-09-12,4,07,2
2019-09-12,4,09,2
2019-09-12,4,18,2
2019-09-12,7,01,479
2019-09-12,7,09,1
2019-09-12,8,01,2012
2019-09-12,8,02,37
2019-09-12,8,05,6
2019-09-12,8,07,36
2019-09-12,8,09,3
2019-09-12,8,11,12
2019-09-12,8,19,24
2019-09-12,9,01,15
2019-10-12,1,01,147
2019-10-12,1,02,36
2019-10-12,1,05,60
2019-10-12,1,07,51
2019-10-12,2,01,10002
2019-10-12,2,02,234
2019-10-12,2,05,991
2019-10-12,2,07,212
2019-10-12,2,11,119
2019-10-12,3,01,480
2019-10-12,3,07,3
2019-10-12,4,01,500
2019-10-12,4,02,20
2019-10-12,4,07,28
2019-10-12,5,01,40
2019-10-12,6,01,2
2019-10-12,7,01,313
2019-10-12,7,07,18
2019-10-12,8,01,2501
2019-10-12,8,02,120
2019-10-12,8,05,24
2019-10-12,8,07,67
2019-10-12,8,11,10
2019-10-12,9,01,42
2019-12-12,1,01,1906
2019-12-12,2,01,5168
2019-12-12,2,15,1933
2019-12-12,3,01,42
2019-12-12,4,01,42
2019-12-12,4,15,20
2019-12-12,5,01,6
2019-12-12,7,01,152
2019-12-12,8,01,826
2019-12-12,8,15,456
2019-12-12,9,01,48
2019-12-13,1,01,279
2019-12-13,2,01,9811
2019-12-13,2,05,2
2019-12-13,2,09,203
2019-12-13,3,01,115
2019-12-13,4,01,126
2019-12-13,7,01,722
2019-12-13,8,01,3851
2019-12-13,8,09,92
2019-12-13,9,01,128
2019-12-14,1,01,226
2019-12-14,1,20,5
2019-12-14,2,01,12491
2019-12-14,2,20,735
2019-12-14,3,01,114
2019-12-14,3,20,22
2019-12-14,4,01,183
2019-12-14,4,20,5
2019-12-14,5,01,1
2019-12-14,6,01,1
2019-12-14,7,01,541
2019-12-14,7,20,18
2019-12-14,8,01,2942
2019-12-14,8,20,132
2019-12-14,8,21,240
2019-12-14,9,01,71
2019-12-15,1,01,856
2019-12-15,2,01,13528
2019-12-15,2,02,99
2019-12-15,3,01,221
2019-12-15,4,01,99
2019-12-15,4,02,2
2019-12-15,5,01,10
2019-12-15,6,01,6
2019-12-15,7,01,417
2019-12-15,8,01,3036
2019-12-15,8,02,33
2019-12-15,9,01,72
2019-12-16,1,01,607
2019-12-16,1,07,18
2019-12-16,2,01,19645
2019-12-16,2,02,3
2019-12-16,2,07,68
2019-12-16,2,22,984
2019-12-16,3,01,414
2019-12-16,3,07,96
2019-12-16,4,01,310
2019-12-16,4,07,20
2019-12-16,5,01,1
2019-12-16,7,01,870
2019-12-16,7,07,84
2019-12-16,8,01,5940
2019-12-16,8,07,72
2019-12-16,8,22,264
2019-12-16,9,01,393
2019-12-17,1,01,66
2019-12-17,1,07,16
2019-12-17,1,11,20
2019-12-17,2,01,3186
2019-12-17,2,02,396
2019-12-17,2,03,66
